ref;brand;lat;lon;;;operator;fuel;price;isself;updated;00
10355;Eni Station;46.1092319;12.8885239;;;;GPL;0.689;Servito;20230621;07
12383;Q8;46.1118909;13.0310080;;;D'Angelo Ivan;GPL;0.769;Servito;20230621;08
13109;Agip;45.8985020;12.5768410;;;Bertolo Mauro & C. S.N.C.;GPL;0.789;Servito;20230626;08
13689;Eni;45.9459880;12.9767420;;;Pituello Stefano;GPL;0.796;Servito;20230622;08
14504;Agip;46.0165010;12.5142850;;;Menegoz Alessandro;GPL;0.789;Servito;20230626;08
14884;Q8;46.3726235;13.0648358;;;Area di Servizio Shell di Marta Ivan & C. S.A.S.;GPL;0.699;Servito;20230622;07
17515;Tamoil;45.8658062;12.7337345;;;Porricelli Emilio;GPL;0.699;Servito;20230626;07
18967;IP;45.8193190;13.4762330;;;Schiavini Giorgio & Roberto S.N.C.;GPL;0.827;Servito;20230623;09
19841;;46.0906851;13.2145039;;;Mauro Andrea e Zuttion Catia S.N.C.;GPL;0.679;Servito;20230622;07
21544;Delle Vedove;45.9503343;12.6957369;;;Val.Gre.Ca. S.R.L.;GPL;0.669;Servito;20230624;07
24034;SMP;46.1596847;12.7079370;;;San Marco Petroli Distribuzione S.R.L.;GPL;0.709;Servito;20230626;07
25885;Agip;45.8413420;13.0970550;;;Zanini Milvia;GPL;0.788;Servito;20230623;08
26173;;45.9729703;12.6136243;;;S.G.S. S.R.L.;GPL;0.648;Servito;20230624;07
26319;;46.2700321;12.3447215;;;Eugas S.R.L.;GPL;0.719;Servito;20230623;08
26366;Tamoil;45.9529400;13.4363010;;;Autoservice 2000 di Cara Stefano & C. S.N.C.;GPL;0.699;Servito;20230626;07
26915;Eni;46.0855850;12.9563570;;;Gaspardo Silvano & Serafini S.N.C.;GPL;0.749;Servito;20230623;08
27651;;45.8893323;13.0354500;;;Degano Cesare;GPL;0.689;Servito;20230626;07
28424;Esso;45.8991097;12.7330515;;;Del Col S.R.L.;GPL;0.689;Servito;20230623;07
29740;;45.9668497;12.9684758;;;Big S.R.L.;GPL;0.735;SelfService;20230621;08
30690;Q8;46.0969240;13.2886930;;;Duegi S.A.S. di Gattesco Luca e C.;GPL;0.699;Servito;20230626;07
30719;;46.1007380;13.1728220;;;Singh Kulvir;GPL;0.689;Servito;20230622;07
31521;Vianello Luigi Gas;45.7693460;13.6467583;;;Vega Carburanti S.P.A.;GPL;0.699;Servito;20230625;07
34196;ENI;45.9259648;12.7076009;;;S.A. S.N.C. di Montico Sandro & C.;GPL;0.689;Servito;20230622;07
34562;IP;45.9557300;12.8141360;;;S.I.A. Engineering Construction S.R.L.;GPL;0.679;Servito;20230623;07
35273;;46.0296771;13.2843260;;;Auto Metano Udine di Rosso Cristian & C. S.A.S.;GPL;0.719;Servito;20230622;08
35710;;45.9320726;13.1464827;;;Coppino Mattia;GPL;0.689;Servito;20230626;07
35819;IP;46.1210521;13.0008388;;;Singh Manjit;GPL;0.699;Servito;20230625;07
36416;Sarni Oil;46.1857730;13.1193710;;;Sarni S.R.L.;GPL;0.798;Servito;20230622;08
36502;;46.0302138;13.1028162;;;Singh Sandip;GPL;0.699;Servito;20230625;07
38706;Agip;45.8773018;13.3485401;;;Cescutti Daniela;GPL;0.896;Servito;20230626;10
39018;IP;46.1366362;13.2221614;;;Ghulam Kharian di Ahmed Waqas S.A.S.;GPL;0.699;Servito;20230621;07
39804;Sarni Oil;45.8817480;13.2594680;;;Sarni S.R.L.;GPL;0.798;Servito;20230621;08
41204;IP;45.9696650;13.1138670;;;Oberai Kapil;GPL;0.689;Servito;20230622;07
42082;IP;45.9684435;12.5432526;;;Felequi -Gas SRL;GPL;0.688;Servito;20230622;07
43804;;45.9430704;13.1004506;;;Kumar Sanjeev & Tirath Ram S.N.C.;GPL;0.689;Servito;20230622;07
45387;Ecotec;45.7596607;13.0300079;;;Smp Latisana;GPL;0.699;Servito;20230626;07
49018;IP;46.0586332;13.3828228;;;V & C Carburanti S.N.C.;GPL;0.699;Servito;20230624;07
52015;Agip;46.2060920;13.1883470;;;Astolfi Marco;GPL;0.766;Servito;20230624;08
52227;;45.8824578;13.2582772;;;Eni Fuel S.P.A.;GPL;0.719;Servito;20230626;08
52553;Agip Eni;46.0930140;13.1919520;;;Muharremi Altin;GPL;0.689;Servito;20230625;07
53066;Tamoil;45.7179069;13.0497980;;;T.D.M. S.R.L.;GPL;0.699;Servito;20230626;07
6023;Tamoil;45.8609664;12.7687538;;;Fiorenergy S.R.L.;GPL;0.719;Servito;20230621;08
6856;Q8;46.0595279;13.2200005;;;Sclippa Lino;GPL;0.709;Servito;20230626;07
6986;IP;46.1706773;13.2061457;;;Jetrent S.R.L.;GPL;0.699;Servito;20230626;07
6987;IP;46.0396718;13.2529196;;;Jetrent S.R.L.;GPL;0.699;Servito;20230626;07
7261;Q8 Easy;45.9643929;12.6728282;;;Servizi & Gestioni Italia S.R.L.;GPL;0.649;Servito;20230624;07
7262;Q8;45.9313921;12.8714185;;;Servizi & Gestioni Italia S.R.L.;GPL;0.739;Servito;20230622;08
7267;Q8easy;46.0897890;13.1448520;;;Servizi & Gestioni Italia S.R.L.;GPL;0.699;Servito;20230624;07
7269;Q8 Easy;46.4203023;13.0210435;;;Servizi & Gestioni Italia S.R.L.;GPL;0.699;Servito;20230624;07
7283;Q8;45.8223266;13.2149654;;;Servizi & Gestioni Italia S.R.L.;GPL;0.779;Servito;20230624;08
7293;Q8 Easy;46.0230754;13.2724728;;;Servizi & Gestioni Italia S.R.L.;GPL;0.699;Servito;20230624;07
